alpha = 0.36907, epsilon = 20, minimising p1 (0.499699939502499) at 0.56 and p2 (0.49970723313521137) at 0.54
alpha = 0.369071, epsilon = 20, minimising p1 (0.49969434289451786) at 0.56 and p2 (0.49971263000247157) at 0.54
alpha = 0.369072, epsilon = 20, minimising p1 (0.49968874634921795) at 0.56 and p2 (0.4997180269280194) at 0.54
alpha = 0.369073, epsilon = 20, minimising p1 (0.4996831498665986) at 0.56 and p2 (0.4997234239118545) at 0.54
alpha = 0.369074, epsilon = 20, minimising p1 (0.49967755344666254) at 0.56 and p2 (0.49972882095397614) at 0.54
alpha = 0.369075, epsilon = 20, minimising p1 (0.4996719570894022) at 0.56 and p2 (0.49973421805438506) at 0.54
alpha = 0.369076, epsilon = 20, minimising p1 (0.49966636079482374) at 0.56 and p2 (0.4997396152130865) at 0.54
alpha = 0.369077, epsilon = 20, minimising p1 (0.4996607645629207) at 0.56 and p2 (0.4997450124300753) at 0.54
alpha = 0.369078, epsilon = 20, minimising p1 (0.4996551683936959) at 0.56 and p2 (0.4997504097053544) at 0.54
alpha = 0.369079, epsilon = 20, minimising p1 (0.49964957228714973) at 0.56 and p2 (0.4997558070389244) at 0.54
alpha = 0.36908, epsilon = 20, minimising p1 (0.4996439762432769) at 0.56 and p2 (0.4997612044307871) at 0.54
alpha = 0.369081, epsilon = 20, minimising p1 (0.4996383802620802) at 0.56 and p2 (0.4997666018809397) at 0.54
alpha = 0.369082, epsilon = 20, minimising p1 (0.49963278434355884) at 0.56 and p2 (0.49977199938938743) at 0.54
alpha = 0.369083, epsilon = 20, minimising p1 (0.4996271884877122) at 0.56 and p2 (0.4997773969561263) at 0.54
alpha = 0.369084, epsilon = 20, minimising p1 (0.49962159269453615) at 0.56 and p2 (0.4997827945811603) at 0.54
alpha = 0.369085, epsilon = 20, minimising p1 (0.4996159969640345) at 0.56 and p2 (0.49978819226448906) at 0.54
alpha = 0.369086, epsilon = 20, minimising p1 (0.4996104012962066) at 0.56 and p2 (0.4997935900061131) at 0.54
alpha = 0.369087, epsilon = 20, minimising p1 (0.499604805691046) at 0.56 and p2 (0.49979898780603316) at 0.54
alpha = 0.369088, epsilon = 20, minimising p1 (0.49959921014855774) at 0.56 and p2 (0.4998043856642509) at 0.54
alpha = 0.369089, epsilon = 20, minimising p1 (0.49959361466874) at 0.56 and p2 (0.49980978358076356) at 0.54
alpha = 0.36909, epsilon = 20, minimising p1 (0.4995880192515886) at 0.56 and p2 (0.49981518155557636) at 0.54
alpha = 0.369091, epsilon = 20, minimising p1 (0.49958242389710855) at 0.56 and p2 (0.4998205795886853) at 0.54
alpha = 0.369092, epsilon = 20, minimising p1 (0.4995768286052935) at 0.56 and p2 (0.4998259776800945) at 0.54
alpha = 0.369093, epsilon = 20, minimising p1 (0.4995712333761473) at 0.56 and p2 (0.4998313758298034) at 0.54
alpha = 0.369094, epsilon = 20, minimising p1 (0.4995656382096669) at 0.56 and p2 (0.4998367740378126) at 0.54
alpha = 0.369095, epsilon = 20, minimising p1 (0.4995600431058505) at 0.56 and p2 (0.49984217230412287) at 0.54
alpha = 0.369096, epsilon = 20, minimising p1 (0.499554448064702) at 0.56 and p2 (0.49984757062873353) at 0.54
alpha = 0.369097, epsilon = 20, minimising p1 (0.49954885308621494) at 0.56 and p2 (0.4998529690116487) at 0.54
